period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,-0.20510675350691693,-0.5939009265892349,0.06483672215915409,-0.8039122733374017,0.23797415046513137,-0.9098033356678167,0.3197466603858134,0.28760235476351104,0.3274836072763708,-6.704990097099461e-4,-0.01312778307618274,0.003398000548804422,-0.023950493303745306,0.011357658271579162,-0.02927876603998643,0.01614465076120057,0.02150253716807176,0.021834618944419636,-2.748823279085395,-0.46280710240337203,0.02326909622681133,0.7227743950895656,-0.1982013416743165,0.008417378230138309,-0.07538262633842943,0.0018014083080335665,-0.02780769531757179,7.914514471819903e-4
3,-0.31761529065414473,-0.8218755303521708,0.13731777980588722,-1.173371046686733,0.4351377163393719,-1.354973564510306,0.5748074880852877,0.4578697323041094,0.5218423913240144,-0.07686359367617486,-0.2571685710776626,0.05235811022604165,-0.3883563204153944,0.14585629312090292,-0.46441286742255056,0.1974791559861542,0.19756939202544205,0.21256965008444695,-3.43460533790969,-0.8307290193745824,0.1194794375947639,1.2662306249731228,-0.3640485077357846,0.012140000010948533,-0.16096006008440905,0.004151345704875384,-0.057332899916427545,-0.01673734382082368
6,-0.5895207048841967,-1.216735756036064,-0.003534392268033604,-1.6304698480148536,0.3431604806970989,-1.8310432248473123,0.5153450595484176,0.557306743711077,0.6229914703428624,-0.2526384293999946,-0.5334459231984021,-0.05569551863079458,-0.6927039001038686,0.04315341666707842,-0.7674085281075843,0.10542769550795941,0.24521199333831575,0.2547338317030135,-4.529956939112725,-1.24804881620816,0.008657217259412136,0.9669543672386179,-0.5348162869905406,-0.005151267751212098,-0.32457611494019956,-0.020271718668064112,-0.131956678197386,-0.06367800520648383
9,-0.7726742129268902,-1.4459150878958837,-0.139321205117533,-1.9140794127949543,0.24501880211779248,-2.1382428254695993,0.4294275308368541,0.6347207280487431,0.6786477604905966,-0.38007763118965043,-0.6903747687983381,-0.13229209198841907,-0.8811888333671727,0.006599840509843025,-0.9725019572213142,0.06553960952818383,0.2857343018749344,0.2904967489785334,-5.094422585383949,-1.5571088598960021,-0.048318899973766864,0.9590599019283343,-0.6635062090189443,-0.041982408055464555,-0.4236120267238618,-0.05656786970236961,-0.19461253713107543,-0.10314432839803107
12,-0.8808523733688483,-1.6137736565609353,-0.20015442819508528,-2.066782368592056,0.21625311373427128,-2.2976719998609276,0.41032933574370034,0.670448462417764,0.6998217470719247,-0.4531434770297908,-0.7863261155308141,-0.17231198340012852,-0.9835061327945309,-0.012089635319438477,-1.0709336876065065,0.047467137158248726,0.30443140277375874,0.3063555677169897,-5.668652833810197,-1.6181781866811689,-0.07322185385747615,0.6770723695272359,-0.6944986426494256,-0.049008464966397824,-0.42000998591986555,-0.06782503936465106,-0.21927991656182594,-0.11965392313637248
15,-0.9700461133057227,-1.733435742603811,-0.23897999474575823,-2.2276381258829514,0.22019077232414935,-2.477081995991917,0.43951522400867815,0.7201083382000414,0.7479119819322867,-0.5234558591163756,-0.856257873690657,-0.19281656324435684,-1.0511473017564015,-0.01459639200309057,-1.1652992508749442,0.05289832010028084,0.3273646096967041,0.3271607635934399,-5.844914223495287,-1.8032334224730633,-0.07983266017693738,0.6506567386628086,-0.7741938789068549,-0.03741046496452969,-0.4644160964700489,-0.05468505378728344,-0.229593353856266,-0.11608415462979815
18,-0.9928230706120987,-1.7895602318854724,-0.25246521335586325,-2.297615385739532,0.2396405749070948,-2.538871065752199,0.46902834948024336,0.7494896529246888,0.7786466532484516,-0.5612824485905409,-0.8886841600519145,-0.20622387668280034,-1.1197832827802414,-0.010155968328519813,-1.2311973611196445,0.06732572253412195,0.3414474460564636,0.3359656510242831,-6.0820624174571325,-1.8642696806480612,-0.08010002041775452,0.7025608571192651,-0.7804616295699696,-0.023597828805528902,-0.5054783465539303,-0.05372155109942717,-0.23372861813428958,-0.10561075095658305
21,-1.0033571876678746,-1.819163073172144,-0.251404161557668,-2.3464474458551314,0.2378249468225577,-2.5955077276097653,0.4728990176848409,0.7658434777508925,0.7925506178673336,-0.5633373295809938,-0.8986555364289581,-0.19970685565101837,-1.1173685038476697,-0.009437892066846254,-1.229179380710665,0.07376307673199092,0.3480910143890765,0.3439477068025161,-6.105808119359239,-1.8560920467690067,-0.067666501055781,0.6445842647716905,-0.7889122877752893,-0.009876654182836996,-0.49174481645123735,-0.031481324433554725,-0.22088869319126186,-0.08847203981242255
24,-1.0123285719678328,-1.8193902738780756,-0.2608777861055768,-2.3326099508149647,0.2246816244850474,-2.5774390797283777,0.4572977912882488,0.7667727694000648,0.7863881118958418,-0.5602814397854654,-0.91814531972479,-0.1993781227606932,-1.1307546358507339,0.0011337378456245661,-1.2411853784341855,0.07574303287462636,0.35341660654637685,0.3458482330029296,-6.111206431277545,-1.8584777774276726,-0.05772263073900555,0.6156125817370407,-0.8061043207848583,-0.008797764844474847,-0.4958486119122659,-0.01779012563310254,-0.21666549349772826,-0.08742275358916637
27,-1.0227516401656693,-1.8938565723921654,-0.2408130283557881,-2.4460381521776866,0.262795762833567,-2.7083808752936207,0.5121132908728001,0.8045114734800666,0.8312757992893792,-0.5356309066048675,-0.9178559801993005,-0.16213119418149954,-1.1387286965981445,0.018792789772290985,-1.2613260021344546,0.10206464896472317,0.3623935652582297,0.3649606397404802,-6.6199292333957285,-1.9003757142385909,-0.04580451484215416,0.6285828512795483,-0.8152158989322998,0.01564282828798222,-0.48155244125103225,-0.02533140793480415,-0.21607295442669175,-0.09009529144287493
